"command","value","kind","type","default","prefix","module","platform_text","runtime_editable","startup_only","in_default_engine","in_scalability","scalability_group","scalability_sections","current_project_values","test_method","safe_test_values","config_target","test_priority","skip_or_review_reason","baseline_fps","test_fps","fps_delta_percent","quality_impact","recommendation","project_setting_value","notes","usage","help","flags","run_id","map","resolution","avg_gpu_ms","avg_renderthread_ms","avg_gamethread_ms","frames","duration_seconds","hitch_count","profile_csv","fpschart_log","fpschart_html","launch_notes","comparison_method","paired_baseline_fpschart_log","paired_test_fpschart_log","paired_baseline_avg_gpu_ms","paired_test_avg_gpu_ms"
"r.Shadow.TexelsPerPixel","","CVar","float","","r","阴影","Windows D3D12 SM6 <GPU>","true","false","false","false","false","","","runtime_quality_candidate","0;0.63662;1.27324;1.90986","Runtime console or user setting if adopted","P1","","72.84","70.03","-3.86","invalid: missing value in runtime A/B input CSV","invalid_retest_required_missing_value","","Invalid run: runtime_ab_batch_next.csv lacked a value column, so the launcher issued 'r.Shadow.TexelsPerPixel=' instead of the intended scalar. Ignore this row and retest with an explicit value column. Original measured note: Paired A/B same-process result on <BenchmarkMap>: baseline 72.84 FPS, test 70.03 FPS, delta -3.86%. Baseline GPU 4.44 ms, test GPU 4.46 ms. Treat as quality/performance tradeoff until visual review.","r.Shadow.TexelsPerPixel=","The ratio of subject pixels to shadow texels for per-object shadows","ECVF_RenderThreadSafe","ab_r_Shadow_TexelsPerPixel__20260616_163635","<BenchmarkMap>","1280x720","4.46","14.17","6.35","280","4.00","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_163636).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.37.30\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.37.30\<BenchmarkMap>-2026.06.16-16.37.30-FPS-WindowsEditor.html","Invalid run: missing value column caused empty assignment. Paired A/B same process: baseline frames 80-360, set r.Shadow.TexelsPerPixel= at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Shadow_TexelsPerPixel_.log","invalid_missing_value_assignment","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.37.25\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.37.30\<BenchmarkMap>-FPS-WindowsEditor.log","4.44","4.46"
"r.AmbientOcclusion.Compute","1","CVar","int32","","r","GI / Ambient Occlusion","Windows D3D12 SM6 <GPU>","true","false","false","false","false","","","runtime_quality_candidate","0;1","Runtime console or user setting if adopted","P1","","75.32","74.18","-1.51","Low/Medium: switches SSAO to compute shader path where supported. Visual output should be equivalent, performance depends on GPU async/compute pressure.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","","Paired A/B same-process result on <BenchmarkMap>: baseline 75.32 FPS, test 74.18 FPS, delta -1.51%. Baseline GPU 5.02 ms, test GPU 5.08 ms. Treat as quality/performance tradeoff until visual review.","r.AmbientOcclusion.Compute=1","If SSAO should use ComputeShader (not available on all platforms) or PixelShader.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_AmbientOcclusion_Compute_1_20260616_164052","<BenchmarkMap>","1280x720","5.08","13.46","6.07","280","3.77","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_164053).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.41.49\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.41.49\<BenchmarkMap>-2026.06.16-16.41.49-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.AmbientOcclusion.Compute=1 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_AmbientOcclusion_Compute_1.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.41.44\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.41.49\<BenchmarkMap>-FPS-WindowsEditor.log","5.02","5.08"
"r.AmbientOcclusion.FramebufferCompression","1","CVar","int32","","r","GI / Ambient Occlusion","Windows D3D12 SM6 <GPU>","true","false","false","false","false","","","runtime_quality_candidate","0;1","Runtime console or user setting if adopted","P1","","71.09","68.14","-4.15","Low: enables AO texture framebuffer compression if supported by platform. Expected visual output equivalent; bandwidth/perf may change.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","","Paired A/B same-process result on <BenchmarkMap>: baseline 71.09 FPS, test 68.14 FPS, delta -4.15%. Baseline GPU 4.49 ms, test GPU 4.47 ms. Treat as quality/performance tradeoff until visual review.","r.AmbientOcclusion.FramebufferCompression=1","Whether to use framebuffer compression for AO texture if platform supports it.","ECVF_RenderThreadSafe","ab_r_AmbientOcclusion_FramebufferCompression_1_20260616_164202","<BenchmarkMap>","1280x720","4.47","14.65","6.20","280","4.11","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_164202).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.42.56\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.42.56\<BenchmarkMap>-2026.06.16-16.42.56-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.AmbientOcclusion.FramebufferCompression=1 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_AmbientOcclusion_FramebufferCompression_1.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.42.51\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.42.56\<BenchmarkMap>-FPS-WindowsEditor.log","4.49","4.47"
"r.Bloom.AsyncCompute","1","CVar","int32","","r","Post Processing / Bloom","Windows D3D12 SM6 <GPU>","true","false","false","false","false","","","runtime_quality_candidate","0;1","Runtime console or user setting if adopted","P1","","71.06","71.76","0.99","Low: runs FFT bloom on async compute where active. Visual output should be equivalent, but async contention can hurt.","bloom_async_candidate_visual_review_required","","Paired A/B same-process result on <BenchmarkMap>: baseline 71.06 FPS, test 71.76 FPS, delta 0.99%. Baseline GPU 5.15 ms, test GPU 5.08 ms. Treat as quality/performance tradeoff until visual review.","r.Bloom.AsyncCompute=1","Whether to run FFT bloom on async compute.","ECVF_RenderThreadSafe","ab_r_Bloom_AsyncCompute_1_20260616_164308","<BenchmarkMap>","1280x720","5.08","13.93","6.27","280","3.90","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_164308).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.44.03\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.44.03\<BenchmarkMap>-2026.06.16-16.44.03-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Bloom.AsyncCompute=1 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Bloom_AsyncCompute_1.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.43.58\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.44.03\<BenchmarkMap>-FPS-WindowsEditor.log","5.15","5.08"
"r.Bloom.ApplyLocalExposure","0","CVar","bool","","r","Post Processing / Bloom","Windows D3D12 SM6 <GPU>","true","false","false","false","false","","","runtime_quality_candidate","0","Runtime console or user setting if adopted","P1","","71.92","71.21","-0.99","Medium: disables local exposure application in bloom. Can change highlight/bloom appearance and must be visually reviewed.","neutral_paired_ab_no_material_gain","","Paired A/B same-process result on <BenchmarkMap>: baseline 71.92 FPS, test 71.21 FPS, delta -0.99%. Baseline GPU 4.06 ms, test GPU 3.98 ms. Treat as quality/performance tradeoff until visual review.","r.Bloom.ApplyLocalExposure=0","Whether to apply local exposure when calculating bloom, default: true","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_Bloom_ApplyLocalExposure_0_20260616_164414","<BenchmarkMap>","1280x720","3.98","14.02","5.41","280","3.93","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_164415).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.45.09\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.45.09\<BenchmarkMap>-2026.06.16-16.45.09-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Bloom.ApplyLocalExposure=0 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Bloom_ApplyLocalExposure_0.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.45.04\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.45.09\<BenchmarkMap>-FPS-WindowsEditor.log","4.06","3.98"
"r.Reflections.Denoiser.PreConvolution","0","CVar","int32","","r","Reflections","Windows D3D12 SM6 <GPU>","true","false","false","false","false","","","runtime_quality_candidate","0;1","Runtime console or user setting if adopted","P1","","69.09","66.99","-3.04","Medium: reduces reflection denoiser pre-convolution passes. May reduce cost but can add reflection noise/instability.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","","Paired A/B same-process result on <BenchmarkMap>: baseline 69.09 FPS, test 66.99 FPS, delta -3.04%. Baseline GPU 4.33 ms, test GPU 4.34 ms. Treat as quality/performance tradeoff until visual review.","r.Reflections.Denoiser.PreConvolution=0","Number of pre-convolution passes (default = 1).","ECVF_RenderThreadSafe","ab_r_Reflections_Denoiser_PreConvolution_0_20260616_164521","<BenchmarkMap>","1280x720","4.34","14.93","5.93","280","4.18","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_164521).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.46.15\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.46.15\<BenchmarkMap>-2026.06.16-16.46.15-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Reflections.Denoiser.PreConvolution=0 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Reflections_Denoiser_PreConvolution_0.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.46.10\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.46.15\<BenchmarkMap>-FPS-WindowsEditor.log","4.33","4.34"
"r.Reflections.Denoiser.ReconstructionSamples","4","CVar","int32","","r","Reflections","Windows D3D12 SM6 <GPU>","true","false","false","false","false","","","runtime_quality_candidate","0;1;4;8;16","Runtime console or user setting if adopted","P1","","69.70","72.22","3.62","Medium: lowers reflection denoiser reconstruction sample count from default 8 to 4. May improve cost but can reduce denoising stability.","reflection_denoiser_quality_tradeoff_visual_review_required","","Paired A/B same-process result on <BenchmarkMap>: baseline 69.70 FPS, test 72.22 FPS, delta 3.62%. Baseline GPU 4.61 ms, test GPU 4.41 ms. Treat as quality/performance tradeoff until visual review.","r.Reflections.Denoiser.ReconstructionSamples=4","Maximum number of samples for the reconstruction pass (default = 8).","ECVF_RenderThreadSafe","ab_r_Reflections_Denoiser_ReconstructionSamples_4_20260616_164627","<BenchmarkMap>","1280x720","4.41","13.82","5.99","280","3.88","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_164627).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.47.21\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.47.21\<BenchmarkMap>-2026.06.16-16.47.21-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Reflections.Denoiser.ReconstructionSamples=4 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Reflections_Denoiser_ReconstructionSamples_4.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.47.16\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.47.21\<BenchmarkMap>-FPS-WindowsEditor.log","4.61","4.41"
"r.Lumen.Reflections.DownsampleCheckerboard","1","CVar","int32","","r","Lumen / Reflections","Windows D3D12 SM6 <GPU>","true","false","false","false","false","","","runtime_quality_candidate","0;1","Runtime console or user setting if adopted","P1","","69.16","71.35","3.17","Medium: uses checkerboard downsampling for Lumen reflections when downsampled. Can improve cost but may affect reflection detail/stability.","lumen_reflection_quality_tradeoff_visual_review_required","","Paired A/B same-process result on <BenchmarkMap>: baseline 69.16 FPS, test 71.35 FPS, delta 3.17%. Baseline GPU 5.51 ms, test GPU 5.45 ms. Treat as quality/performance tradeoff until visual review.","r.Lumen.Reflections.DownsampleCheckerboard=1","Whether to use checkerboard downsampling when DownsampleFactor is greater than one.","ECVF_Scalability | ECVF_RenderThreadSafe","ab_r_Lumen_Reflections_DownsampleCheckerboard_1_20260616_164733","<BenchmarkMap>","1280x720","5.45","14.00","5.90","280","3.92","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_164733).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.48.27\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.48.27\<BenchmarkMap>-2026.06.16-16.48.27-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Lumen.Reflections.DownsampleCheckerboard=1 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Lumen_Reflections_DownsampleCheckerboard_1.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.48.22\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.48.27\<BenchmarkMap>-FPS-WindowsEditor.log","5.51","5.45"
"r.Shadow.TexelsPerPixel","0.63662","CVar","float","","r","Shadows","Windows D3D12 SM6 <GPU>","true","false","false","false","false","","","runtime_quality_candidate","0;0.63662;1.27324;1.90986","Runtime console or user setting if adopted","P1","","67.05","64.84","-3.30","Medium: lowers per-object shadow texel density. Can improve shadow cost but may visibly soften/fade object shadows.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","","Paired A/B same-process result on <BenchmarkMap>: baseline 67.05 FPS, test 64.84 FPS, delta -3.30%. Baseline GPU 5.46 ms, test GPU 5.42 ms. Treat as quality/performance tradeoff until visual review.","r.Shadow.TexelsPerPixel=0.63662","The ratio of subject pixels to shadow texels for per-object shadows","ECVF_RenderThreadSafe","ab_r_Shadow_TexelsPerPixel_0_63662_20260616_164839","<BenchmarkMap>","1280x720","5.42","15.40","5.80","280","4.32","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_164839).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.49.34\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.49.34\<BenchmarkMap>-2026.06.16-16.49.34-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Shadow.TexelsPerPixel=0.63662 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Shadow_TexelsPerPixel_0_63662.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.49.29\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.49.34\<BenchmarkMap>-FPS-WindowsEditor.log","5.46","5.42"
"r.Lumen.AsyncCompute","1","CVar","int32","","r","Lumen","Windows D3D12 SM6 <GPU>","true","false","false","false","false","","","runtime_quality_candidate","0;1","Runtime console or user setting if adopted","P1","","67.23","67.92","1.03","Low: enables Lumen async compute scheduling where supported. Visual output should be equivalent, but async contention can hurt.","lumen_async_compute_candidate_visual_review_required","","Paired A/B same-process result on <BenchmarkMap>: baseline 67.23 FPS, test 67.92 FPS, delta 1.03%. Baseline GPU 4.55 ms, test GPU 4.49 ms. Treat as quality/performance tradeoff until visual review.","r.Lumen.AsyncCompute=1","Whether to run Lumen passes on async compute where supported.","ECVF_RenderThreadSafe","ab_r_Lumen_AsyncCompute_1_20260616_165058","<BenchmarkMap>","1280x720","4.49","14.74","5.94","280","4.12","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_165058).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.51.53\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.51.53\<BenchmarkMap>-2026.06.16-16.51.53-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Lumen.AsyncCompute=1 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Lumen_AsyncCompute_1.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.51.47\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.51.53\<BenchmarkMap>-FPS-WindowsEditor.log","4.55","4.49"
"r.Lumen.DiffuseIndirect.AsyncCompute","1","CVar","int32","","r","Lumen","Windows D3D12 SM6 <GPU>","true","false","false","false","false","","","runtime_quality_candidate","0;1","Runtime console or user setting if adopted","P1","","67.94","66.27","-2.46","Low: enables async compute for Lumen diffuse indirect where supported. Visual output should be equivalent.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","","Paired A/B same-process result on <BenchmarkMap>: baseline 67.94 FPS, test 66.27 FPS, delta -2.46%. Baseline GPU 4.29 ms, test GPU 4.21 ms. Treat as quality/performance tradeoff until visual review.","r.Lumen.DiffuseIndirect.AsyncCompute=1","Whether to run Lumen diffuse indirect on async compute.","ECVF_RenderThreadSafe","ab_r_Lumen_DiffuseIndirect_AsyncCompute_1_20260616_165204","<BenchmarkMap>","1280x720","4.21","15.08","5.95","280","4.22","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_165204).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.52.59\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.52.59\<BenchmarkMap>-2026.06.16-16.52.59-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Lumen.DiffuseIndirect.AsyncCompute=1 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Lumen_DiffuseIndirect_AsyncCompute_1.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.52.53\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.52.59\<BenchmarkMap>-FPS-WindowsEditor.log","4.29","4.21"
"r.Lumen.Reflections.AsyncCompute","1","CVar","int32","","r","Lumen","Windows D3D12 SM6 <GPU>","true","false","false","false","false","","","runtime_quality_candidate","0;1","Runtime console or user setting if adopted","P1","","66.36","62.92","-5.18","Low: enables async compute for Lumen reflections where supported. Visual output should be equivalent.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","","Paired A/B same-process result on <BenchmarkMap>: baseline 66.36 FPS, test 62.92 FPS, delta -5.18%. Baseline GPU 4.40 ms, test GPU 4.42 ms. Treat as quality/performance tradeoff until visual review.","r.Lumen.Reflections.AsyncCompute=1","Whether to run Lumen reflections on async compute.","ECVF_RenderThreadSafe","ab_r_Lumen_Reflections_AsyncCompute_1_20260616_165310","<BenchmarkMap>","1280x720","4.42","15.89","5.56","280","4.45","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_165311).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.54.05\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.54.05\<BenchmarkMap>-2026.06.16-16.54.05-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Lumen.Reflections.AsyncCompute=1 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Lumen_Reflections_AsyncCompute_1.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.53.59\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.54.05\<BenchmarkMap>-FPS-WindowsEditor.log","4.40","4.42"
"r.Lumen.Reflections.HiResSurface","0","CVar","int32","","r","Lumen","Windows D3D12 SM6 <GPU>","true","false","false","false","false","","","runtime_quality_candidate","0;1","Runtime console or user setting if adopted","P1","","65.83","62.81","-4.59","Medium/High: disables high-resolution surface data for Lumen reflections. Can improve cost but may reduce reflection detail.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","","Paired A/B same-process result on <BenchmarkMap>: baseline 65.83 FPS, test 62.81 FPS, delta -4.59%. Baseline GPU 4.26 ms, test GPU 4.31 ms. Treat as quality/performance tradeoff until visual review.","r.Lumen.Reflections.HiResSurface=0","Controls high resolution surface usage for Lumen reflections.","ECVF_RenderThreadSafe","ab_r_Lumen_Reflections_HiResSurface_0_20260616_165417","<BenchmarkMap>","1280x720","4.31","15.91","5.69","280","4.46","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_165417).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.55.11\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.55.11\<BenchmarkMap>-2026.06.16-16.55.11-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Lumen.Reflections.HiResSurface=0 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Lumen_Reflections_HiResSurface_0.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.55.06\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.55.11\<BenchmarkMap>-FPS-WindowsEditor.log","4.26","4.31"
"r.Lumen.Reflections.ScreenSpaceReconstruction.KernelRadius","4","CVar","float","","r","Lumen","Windows D3D12 SM6 <GPU>","true","false","false","false","false","","","runtime_quality_candidate","0;4;8;12","Runtime console or user setting if adopted","P1","","64.21","65.33","1.74","Medium: lowers screen-space reconstruction kernel radius for Lumen reflections. Can reduce cost but may affect reflection filtering.","lumen_reflection_reconstruction_tradeoff_visual_review_required","","Paired A/B same-process result on <BenchmarkMap>: baseline 64.21 FPS, test 65.33 FPS, delta 1.74%. Baseline GPU 4.34 ms, test GPU 4.30 ms. Treat as quality/performance tradeoff until visual review.","r.Lumen.Reflections.ScreenSpaceReconstruction.KernelRadius=4","Kernel radius for Lumen reflection screen-space reconstruction.","ECVF_RenderThreadSafe","ab_r_Lumen_Reflections_ScreenSpaceReconstruction_KernelRadius_4_20260616_165523","<BenchmarkMap>","1280x720","4.30","15.30","5.81","280","4.29","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_165523).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.56.19\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.56.19\<BenchmarkMap>-2026.06.16-16.56.19-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Lumen.Reflections.ScreenSpaceReconstruction.KernelRadius=4 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Lumen_Reflections_ScreenSpaceReconstruction_KernelRadius_4.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.56.13\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-16.56.19\<BenchmarkMap>-FPS-WindowsEditor.log","4.34","4.30"
